Selection,Model,R2,MAE,Train_Time_Sec
All-Features,RandForest,0.966,1.271,6.6932
All-Features,Bagging,0.962,1.3758,0.6923
Embedded-Based,RandForest,0.9604,1.4238,3.3661
Wrapper-Based,RandForest,0.9598,1.5846,1.5397
Embedded-Based,Bagging,0.9482,1.5971,0.3289
Wrapper-Based,Bagging,0.9413,1.8515,0.1584
All-Features,GradBoost,0.9092,2.9681,2.648
Embedded-Based,DecTree,0.8824,2.8402,0.0373
All-Features,DecTree,0.8758,2.445,0.0731
All-Features,Voting,0.8739,3.463,3.1472
Filter-Based,RandForest,0.8709,2.3455,1.2908
Embedded-Based,GradBoost,0.8697,3.4689,1.3818
Embedded-Based,Voting,0.8637,3.5808,1.7874
Filter-Based,Bagging,0.8596,2.5213,0.1247
Wrapper-Based,Voting,0.8392,4.095,0.7938
PCA-Extraction,RandForest,0.8311,3.3263,1.7341
PCA-Extraction,Bagging,0.8232,3.4033,0.1917
Wrapper-Based,GradBoost,0.8146,4.1665,0.5903
Filter-Based,DecTree,0.782,3.6102,0.0193
Filter-Based,Voting,0.7784,4.6841,0.6308
Filter-Based,GradBoost,0.7728,4.433,0.5451
Wrapper-Based,DecTree,0.7632,3.8687,0.017
All-Features,LinearReg,0.7529,5.2531,0.0175
Embedded-Based,LinearReg,0.7491,5.2697,0.0075
Wrapper-Based,LinearReg,0.711,5.7129,0.0022
PCA-Extraction,Voting,0.6951,5.3123,0.9246
PCA-Extraction,GradBoost,0.6774,5.5298,0.7838
PCA-Extraction,DecTree,0.6223,4.4915,0.0141
Filter-Based,LinearReg,0.5277,7.3288,0.0025
PCA-Extraction,LinearReg,0.4728,7.5097,0.0017
